"COUNTRY","DELIVERY_SITE_ID","DELIVERY_SITE_NAME","DELIVERY_SITE_STATUS","ESTIMATED_TIME_TO_DELIVERY_SITE","HEALTH_FACILITY_COUNTRY","HEALTH_FACILITY_GROUP","HEALTH_FACILITY_ID","HEALTH_FACILITY_KEY","HEALTH_FACILITY_LOCALITY","HEALTH_FACILITY_NAME","HEALTH_FACILITY_REGION","HEALTH_FACILITY_STATUS","IS_DIRECT_DELIVERY_SITE","NEST_ID","NEST_NAME"
"GH",12490,"Adabokrom HC","ready_for_operations",3913,"Ghana","ART TEST FACILITIES, Bia East Facilities, Clinic/Health Centre with a Doctor/ Physician Assistant, Family Planning Facilities",343,"9590c82507c551575dfcec3d25ee76a4","Bia East","Adabokrom HC","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",2964,"Samartex HSP","ready_for_operations",2349,"Ghana","ART TEST FACILITIES, District Hospital, Family Planning Facilities",387,"44c941db8e71ba748c48b254b063ee7b","Wassa Amenfi West","Samartex HSP","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",781,"Suhum District HSP","ready_for_operations",276,"Ghana","ARV site, Accredited by NBS, District Hospital, Eastern",5,"6dc47662e0ba8f7d65d0fbe93024dbad","Suhum","Suhum HSP","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",218,"Atua Government HSP","ready_for_operations",2361,"","ARV site, District Hospital, Eastern",408,"50f7b9e0d3c9a734df52e5b4b7424b1d","Lower Manya Krobo","Atua Government HSP","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",4,"Ekye HC","inactive",3260,"","ARV site, AS/AR HC/CHPS, Eastern, Health Center with PA",24,"d74b6953ca1119bf91aaaec905dbb9c5","Kwahu Afram Plains South","Tease Presby HC","Eastern","Suspended entirely","false",5,"GH1 Omenako"
"GH",114,"Eastern Regional HSP","ready_for_operations",937,"Ghana","ARV site, Accredited by NBS, Eastern, Regional Hospital",654,"38c98b69f9650f465dae1d672c11d9b3","New Juaben South","Koforidua Regional HSP","Eastern","Suspended entirely","true",5,"GH1 Omenako"
"GH",276,"Sekesua HC","ready_for_operations",1667,"Ghana","AS/AR HC/CHPS, Eastern, Health Center with PA",244,"dd650a805441e3cfb626093dd799eacc","Upper Manya Krobo","Sekesua HC","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",794,"Ekye Central CHPS","inactive",3153,"","AS/AR HC/CHPS, CHPS with midwife, Eastern",28,"22664d39177dfb7b72c1923d0d670b0f","Kwahu Afram Plains South","Ekye Central CHPS","Eastern","Obsolete","true",5,"GH1 Omenako"
"GH",3251,"Yaw Donkor CHPS","ready_for_operations",1937,"Ghana","ASENE MANSO AKROSO DISTRICT, CHPS with midwife, Eastern",531,"6ba78c2abb369d52c2368204f5de41e7","Asene Manso Akroso","Yaw Donkor CHPS- AMA","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",3797,"Apinto CHPS","ready_for_operations",2232,"","ASENE MANSO AKROSO DISTRICT, CHPS without midwife, Eastern",416,"012579d7f6442273e4980cfb134c342f","Asene Manso Akroso","Apinto CHPS-AMA","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",822,"Ahmadiya (Sekyere East) HSP","ready_for_operations",1408,"Ghana","Accredited by CZBC-KATH, Ashanti Region (Vaccines), Ashanti Region Facilities, District Hospital",54,"9714f8e2939248bbda49dc6b393ccc8d","Sekyere East","Effiduase Government HSP","Ashanti","Operationalized","false",7,"GH2 Mpanya"
"GH",1885,"Family Care HSP","ready_for_operations",1442,"Ghana","Accredited by CZBC-KATH, Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center With Dr, Health Center without Dr",277,"61106e0993101211bcca679fe274906c","Afigya Kwabre South","Afrancho PC","Ashanti","Operationalized","false",7,"GH2 Mpanya"
